FIFA,FIFA_1,FIFA_2,FIFA_3
cheese,cheese_1,cheese_2,cheese_3
alliance,alliance_1,alliance_2,alliance_3
art,art_1,art_2,art_3
deal,deal_1,deal_2,deal_3
imposing,imposing_1,imposing_2,imposing_3
irresponsible,irresponsible_1,irresponsible_2,irresponsible_3
culture,culture_1,culture_2,culture_3
aggressive,aggressive_1,aggressive_2,aggressive_3
negotiations,negotiations_1,negotiations_2,negotiations_3
partners,partners_1,partners_2,partners_3
Iran,Iran_1,Iran_2,Iran_3
USA,USA_1,USA_2,USA_3
nuclear,nuclear_1,nuclear_2,nuclear_3
peace,peace_1,peace_2,peace_3
responsible,responsible_1,responsible_2,responsible_3
militant,militant_1,militant_2,militant_3
music,music_1,music_2,music_3
friendly,friendly_1,friendly_2,friendly_3
development,development_1,development_2,development_3
mountains,mountains_1,mountains_2,mountains_3
praise,praise_1,praise_2,praise_3
seeking,seeking_1,seeking_2,seeking_3
agreement,agreement_1,agreement_2,agreement_3
chocolate,chocolate_1,chocolate_2,chocolate_3
neutral,neutral_1,neutral_2,neutral_3
Switzerland,Switzerland_1,Switzerland_2,Switzerland_3
Syria,Syria_1,Syria_2,Syria_3
dangerous,dangerous_1,dangerous_2,dangerous_3
diplomatic,diplomatic_1,diplomatic_2,diplomatic_3
threat,threat_1,threat_2,threat_3
UK,UK_1,UK_2,UK_3
science,science_1,science_2,science_3
military,military_1,military_2,military_3
worrying,worrying_1,worrying_2,worrying_3
history,history_1,history_2,history_3
